id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
15	application programs	0.5644	-0.5562	1	13	17	6	2017
51	c (programming language)	0.3646	-0.7676	1	7	11	5	2017.4
70	computer aided instruction	-0.3156	0.6387	6	15	23	6	2017.1667
71	computer architecture	-0.6205	0.1234	2	10	13	5	2017.4
75	computer hardware	0.12	-0.318	1	19	37	8	2017.125
76	computer operating systems	-0.746	-0.6231	2	9	12	6	2016
78	computer programming	-0.3406	0.2248	2	10	11	4	2016.25
80	computer science	0.507	0.4762	5	7	8	4	2016.25
99	cost engineering	-0.5438	0.323	3	11	15	4	2016.5
100	costs	-0.4463	-0.0684	2	16	26	9	2016.2222
105	curricula	0.2632	0.111	1	18	46	11	2017.2727
110	data acquisition	-0.6369	0.8273	3	8	10	4	2017
117	developing countries	-0.0565	-0.568	2	10	14	4	2017.25
127	distance education	-0.7054	0.567	3	11	18	5	2016.4
131	e-learning	-0.1019	0.3837	6	16	33	13	2017.0769
136	education	0.0513	0.1474	3	32	83	35	2017.2286
148	embedded systems	0.1007	-0.1394	4	23	50	14	2017.1429
179	hardware	0.4824	0.0279	1	20	33	9	2017.1111
186	high level languages	-0.8495	0.8381	3	7	10	4	2016.75
192	image processing	1.0617	-0.0444	1	9	9	4	2017.25
210	interactive computer systems	-0.9454	-0.4584	2	4	5	4	2015.25
213	internet of things	-0.3207	-0.2295	2	22	44	19	2017.7368
225	laboratories	-0.8206	0.3505	3	19	44	12	2017
229	learning systems	0.1329	0.3853	6	10	17	7	2018.2857
231	linux	-0.2336	-0.5584	4	19	25	7	2015.8571
255	microcontrollers	-0.8252	-0.316	2	11	14	5	2016.6
267	monitoring	-0.3586	-0.7469	4	6	7	4	2017.75
292	online systems	-0.5468	-0.3721	2	11	13	5	2015.8
295	open source software	0.5893	-0.3186	1	15	22	6	2017.3333
296	open systems	0.7851	-0.3029	1	10	16	5	2018.2
323	programming	1.2921	0.4943	5	4	8	5	2016.6
328	python	1.3018	0.3641	5	4	8	5	2016.8
334	raspberry pi	1.1212	0.4237	5	8	15	18	2016.9444
345	remote control	0.9925	-0.2324	1	7	7	4	2017.25
400	students	-0.1418	0.0767	3	30	109	37	2017.2162
408	teaching	-0.1745	-0.1628	4	21	57	14	2016.9286
